file,gender,race,makeup,time,happiness,age
000097.jpg,female,caucasian,makeup,modernphoto,happy,51
000098.jpg,female,caucasian,makeup,modernphoto,happy,24
000099.jpg,female,caucasian,makeup,modernphoto,happy,19
000100.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,45
000101.jpg,male,afroamerican,nomakeup,modernphoto,other,9
000102.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,41
000103.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,32
000104.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,27
000105.jpg,female,caucasian,nomakeup,modernphoto,happy,60
000106.jpg,female,caucasian,makeup,modernphoto,happy,45
000107.jpg,male,afroamerican,nomakeup,modernphoto,happy,23
000108.jpg,female,caucasian,makeup,modernphoto,other,38
000109.jpg,male,caucasian,nomakeup,modernphoto,other,20
000110.jpg,female,caucasian,makeup,modernphoto,neutral,13
000111.jpg,male,caucasian,nomakeup,oldphoto,neutral,54
000112.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,49
000113.jpg,female,caucasian,verysubtle,modernphoto,happy,19
000114.jpg,male,caucasian,nomakeup,modernphoto,neutral,36
000115.jpg,female,caucasian,nomakeup,modernphoto,other,80
000116.jpg,male,caucasian,nomakeup,modernphoto,other,24
000117.jpg,female,caucasian,nomakeup,modernphoto,happy,11
000118.jpg,male,caucasian,nomakeup,modernphoto,other,8
000119.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,60
000120.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,70
000121.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,23
000122.jpg,female,caucasian,nomakeup,modernphoto,neutral,15
000123.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,22
000124.jpg,female,caucasian,makeup,modernphoto,neutral,25
000125.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,28
000126.jpg,male,caucasian,nomakeup,modernphoto,neutral,37
000127.jpg,male,asian,nomakeup,modernphoto,neutral,24
000128.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,26
000129.jpg,male,caucasian,nomakeup,modernphoto,neutral,16
000130.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,5
000131.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,60
000132.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,43
000133.jpg,female,caucasian,verysubtle,modernphoto,happy,24
000134.jpg,male,caucasian,nomakeup,modernphoto,happy,42
000135.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,26
000136.jpg,male,asian,nomakeup,modernphoto,neutral,54
000137.jpg,female,caucasian,makeup,modernphoto,neutral,52
000138.jpg,female,asian,verysubtle,modernphoto,slightlyhappy,24
000139.jpg,female,caucasian,verysubtle,modernphoto,neutral,23
000140.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,26
000141.jpg,female,caucasian,verysubtle,modernphoto,happy,18
000142.jpg,female,caucasian,nomakeup,modernphoto,happy,54
000143.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,4
000144.jpg,male,caucasian,nomakeup,modernphoto,neutral,23
000145.jpg,male,caucasian,nomakeup,modernphoto,neutral,30
000146.jpg,female,caucasian,makeup,modernphoto,happy,23
000147.jpg,female,caucasian,nomakeup,modernphoto,neutral,8
000148.jpg,female,caucasian,nomakeup,modernphoto,happy,40
000149.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,52
000150.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,37
000151.jpg,male,caucasian,nomakeup,modernphoto,neutral,1
000152.jpg,female,caucasian,verysubtle,modernphoto,other,25
000153.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,20
000154.jpg,male,caucasian,nomakeup,modernphoto,neutral,28
000155.jpg,male,caucasian,nomakeup,modernphoto,neutral,60
000156.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,34
000157.jpg,female,asian,verysubtle,modernphoto,neutral,48
000158.jpg,female,afroamerican,nomakeup,modernphoto,neutral,1
000159.jpg,female,asian,verysubtle,modernphoto,neutral,18
000160.jpg,male,caucasian,nomakeup,modernphoto,neutral,21
000161.jpg,female,asian,verysubtle,modernphoto,slightlyhappy,30
000162.jpg,male,caucasian,nomakeup,modernphoto,other,32
000163.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,48
000164.jpg,male,caucasian,nomakeup,modernphoto,neutral,50
000165.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,45
000166.jpg,female,caucasian,verysubtle,modernphoto,happy,31
000167.jpg,female,caucasian,nomakeup,modernphoto,other,80
000168.jpg,female,asian,verysubtle,modernphoto,happy,24
000169.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,21
000170.jpg,female,afroamerican,makeup,modernphoto,happy,13
000171.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,32
000172.jpg,female,caucasian,makeup,modernphoto,happy,33
000173.jpg,female,asian,verysubtle,modernphoto,happy,28
000174.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,52
000175.jpg,male,asian,nomakeup,modernphoto,neutral,72
000176.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,47
000177.jpg,male,caucasian,nomakeup,modernphoto,other,30
000178.jpg,male,caucasian,nomakeup,modernphoto,other,6
000179.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,27
000180.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,26
000181.jpg,female,asian,nomakeup,modernphoto,slightlyhappy,14
000182.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,23
000183.jpg,male,caucasian,nomakeup,modernphoto,neutral,28
000184.jpg,male,caucasian,nomakeup,modernphoto,neutral,33
000185.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,26
000186.jpg,male,caucasian,nomakeup,modernphoto,neutral,16
000187.jpg,male,caucasian,nomakeup,modernphoto,happy,8
000188.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,39
000189.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,46
000190.jpg,male,caucasian,nomakeup,modernphoto,neutral,65
000191.jpg,male,caucasian,nomakeup,modernphoto,neutral,55
000192.jpg,male,caucasian,nomakeup,modernphoto,happy,6
000193.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,63
000194.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,21
000195.jpg,male,caucasian,nomakeup,modernphoto,happy,26
000196.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,17
000197.jpg,female,caucasian,verysubtle,modernphoto,happy,22
000198.jpg,female,caucasian,nomakeup,modernphoto,neutral,17
000199.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,24
000200.jpg,male,caucasian,nomakeup,modernphoto,neutral,15
000201.jpg,male,caucasian,nomakeup,modernphoto,neutral,33
000202.jpg,female,asian,makeup,modernphoto,slightlyhappy,16
000203.jpg,male,caucasian,nomakeup,modernphoto,happy,12
000204.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,16
000205.jpg,male,caucasian,nomakeup,modernphoto,neutral,34
000206.jpg,female,caucasian,nomakeup,modernphoto,neutral,44
000207.jpg,male,caucasian,nomakeup,modernphoto,neutral,28
000208.jpg,male,caucasian,nomakeup,modernphoto,happy,18
000209.jpg,female,asian,nomakeup,modernphoto,happy,16
000210.jpg,female,asian,verysubtle,modernphoto,happy,45
000211.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,19
000212.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,15
000213.jpg,female,caucasian,makeup,modernphoto,other,15
000214.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,34
000215.jpg,female,afroamerican,nomakeup,modernphoto,slightlyhappy,17
000216.jpg,female,caucasian,verysubtle,modernphoto,neutral,49
000217.jpg,male,asian,nomakeup,modernphoto,neutral,7
000218.jpg,female,asian,nomakeup,modernphoto,slightlyhappy,8
000219.jpg,male,caucasian,nomakeup,modernphoto,neutral,23
000220.jpg,female,caucasian,nomakeup,modernphoto,neutral,24
000221.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,41
000222.jpg,male,caucasian,nomakeup,modernphoto,happy,56
000223.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,18
000224.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,60
000225.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,29
000226.jpg,female,caucasian,makeup,modernphoto,happy,25
000227.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,30
000228.jpg,male,caucasian,nomakeup,modernphoto,happy,50
000229.jpg,female,caucasian,verysubtle,modernphoto,happy,49
000230.jpg,male,asian,nomakeup,modernphoto,other,58
000231.jpg,female,caucasian,notclear,modernphoto,slightlyhappy,30
000232.jpg,male,caucasian,nomakeup,modernphoto,neutral,28
000233.jpg,male,caucasian,nomakeup,modernphoto,neutral,6
000234.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,25
000235.jpg,female,caucasian,nomakeup,modernphoto,happy,4
000236.jpg,male,asian,nomakeup,modernphoto,neutral,6
000237.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,37
000238.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,1
000239.jpg,female,caucasian,notclear,modernphoto,happy,30
000240.jpg,male,caucasian,notclear,modernphoto,neutral,26
000241.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,30
000242.jpg,female,caucasian,makeup,oldphoto,happy,30
000243.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,17
000244.jpg,male,caucasian,nomakeup,modernphoto,neutral,48
000245.jpg,female,afroamerican,makeup,modernphoto,neutral,32
000246.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,18
000247.jpg,male,caucasian,nomakeup,modernphoto,happy,28
000248.jpg,male,caucasian,nomakeup,modernphoto,neutral,15
000249.jpg,male,caucasian,nomakeup,modernphoto,neutral,11
000250.jpg,female,asian,nomakeup,modernphoto,slightlyhappy,10
000251.jpg,female,caucasian,nomakeup,modernphoto,neutral,1
000252.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,30
000253.jpg,female,caucasian,verysubtle,modernphoto,happy,19
000254.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,53
000255.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,80
000256.jpg,male,caucasian,nomakeup,modernphoto,neutral,39
000257.jpg,male,asian,nomakeup,modernphoto,neutral,13
000258.jpg,male,caucasian,nomakeup,modernphoto,neutral,7
000259.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,34
000260.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,15
000261.jpg,female,caucasian,verysubtle,modernphoto,other,27
000262.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,31
000263.jpg,male,caucasian,nomakeup,modernphoto,neutral,30
000264.jpg,female,asian,makeup,modernphoto,neutral,16
000265.jpg,male,caucasian,nomakeup,oldphoto,slightlyhappy,52
000266.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,16
000267.jpg,female,caucasian,notclear,modernphoto,happy,18
000268.jpg,female,asian,makeup,modernphoto,slightlyhappy,28
000269.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,15
000270.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,16
000271.jpg,female,asian,verysubtle,modernphoto,other,40
000272.jpg,male,caucasian,nomakeup,modernphoto,neutral,17
000273.jpg,female,afroamerican,makeup,modernphoto,neutral,19
000274.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,44
000275.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,24
000276.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,50
000277.jpg,female,caucasian,nomakeup,modernphoto,neutral,32
000278.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,43
000279.jpg,male,caucasian,nomakeup,modernphoto,neutral,3
000280.jpg,male,caucasian,nomakeup,oldphoto,neutral,30
000281.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,70
000282.jpg,male,caucasian,nomakeup,modernphoto,neutral,26
000283.jpg,female,caucasian,verysubtle,modernphoto,neutral,26
000284.jpg,female,caucasian,makeup,modernphoto,neutral,19
000285.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,50
000286.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,41
000287.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,25
000288.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,50
000289.jpg,male,caucasian,nomakeup,modernphoto,neutral,25
000290.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,50
000291.jpg,male,caucasian,nomakeup,modernphoto,neutral,51
000292.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,40
000293.jpg,male,caucasian,nomakeup,modernphoto,neutral,45
000294.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,9
000295.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,34
000296.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,30
000297.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,13
000298.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,44
000299.jpg,male,caucasian,nomakeup,modernphoto,neutral,17
000300.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,31
000301.jpg,male,caucasian,nomakeup,modernphoto,neutral,25
000302.jpg,female,caucasian,notclear,modernphoto,slightlyhappy,33
000303.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,18
000304.jpg,male,caucasian,nomakeup,modernphoto,neutral,6
000305.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,30
000306.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,27
000307.jpg,female,asian,verysubtle,modernphoto,slightlyhappy,26
000308.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,16
000309.jpg,male,caucasian,nomakeup,modernphoto,neutral,26
000310.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,23
000311.jpg,male,caucasian,nomakeup,oldphoto,neutral,70
000312.jpg,female,caucasian,nomakeup,modernphoto,neutral,2
000313.jpg,female,caucasian,nomakeup,modernphoto,neutral,60
000314.jpg,male,caucasian,nomakeup,modernphoto,neutral,26
000315.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,18
000316.jpg,female,afroamerican,makeup,modernphoto,other,14
000317.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,35
000318.jpg,male,caucasian,nomakeup,modernphoto,neutral,18
000319.jpg,male,caucasian,nomakeup,modernphoto,other,26
000320.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,18
000321.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,34
000322.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,65
000323.jpg,male,caucasian,nomakeup,modernphoto,neutral,1
000324.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,70
000325.jpg,female,caucasian,makeup,modernphoto,neutral,35
000326.jpg,female,caucasian,nomakeup,modernphoto,neutral,1
000327.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,13
000328.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,19
000329.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,18
000330.jpg,male,caucasian,nomakeup,modernphoto,neutral,59
000331.jpg,female,caucasian,makeup,modernphoto,neutral,15
000332.jpg,male,caucasian,nomakeup,modernphoto,other,16
000333.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,50
000334.jpg,male,caucasian,nomakeup,modernphoto,neutral,19
000335.jpg,male,afroamerican,nomakeup,modernphoto,slightlyhappy,4
000336.jpg,female,caucasian,verysubtle,modernphoto,other,30
000337.jpg,male,caucasian,nomakeup,modernphoto,neutral,58
000338.jpg,male,asian,nomakeup,modernphoto,neutral,36
000339.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,22
000340.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,21
000341.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,23
000342.jpg,male,caucasian,nomakeup,modernphoto,neutral,25
000343.jpg,female,caucasian,makeup,modernphoto,neutral,14
000344.jpg,male,caucasian,nomakeup,modernphoto,neutral,14
000345.jpg,female,asian,verysubtle,modernphoto,slightlyhappy,29
000346.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,14
000347.jpg,female,afroamerican,notclear,modernphoto,neutral,30
000348.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,53
000349.jpg,male,caucasian,nomakeup,modernphoto,neutral,55
000350.jpg,female,asian,verysubtle,modernphoto,slightlyhappy,26
000351.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,30
000352.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,41
000353.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,48
000354.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,44
000355.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,22
000356.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,25
000357.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,7
000358.jpg,male,caucasian,nomakeup,modernphoto,neutral,27
000359.jpg,female,caucasian,makeup,oldphoto,neutral,30
000360.jpg,female,caucasian,notclear,modernphoto,neutral,5
000361.jpg,male,caucasian,nomakeup,modernphoto,neutral,23
000362.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,2
000363.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,26
000364.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,15
000365.jpg,male,caucasian,nomakeup,modernphoto,neutral,33
000366.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,15
000367.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,47
000368.jpg,female,caucasian,makeup,modernphoto,neutral,45
000369.jpg,female,caucasian,makeup,modernphoto,other,25
000370.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,40
000371.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,26
000372.jpg,female,caucasian,nomakeup,modernphoto,neutral,63
000373.jpg,male,asian,nomakeup,modernphoto,slightlyhappy,1
000374.jpg,male,caucasian,nomakeup,modernphoto,other,43
000375.jpg,male,caucasian,nomakeup,modernphoto,neutral,35
000376.jpg,male,caucasian,nomakeup,modernphoto,neutral,1
000377.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,39
000378.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,13
000379.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,48
000380.jpg,male,caucasian,nomakeup,modernphoto,neutral,28
000381.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,35
000382.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,27
000383.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,25
000384.jpg,female,caucasian,verysubtle,modernphoto,slightlyhappy,16
000385.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,58
000386.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,20
000387.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,35
000388.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,23
000389.jpg,male,asian,nomakeup,modernphoto,neutral,68
000390.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,18
000391.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,11
000392.jpg,female,asian,nomakeup,modernphoto,neutral,14
000393.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,26
000394.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,26
000395.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,25
000396.jpg,female,asian,nomakeup,modernphoto,other,5
000397.jpg,female,caucasian,makeup,modernphoto,other,4
000398.jpg,male,caucasian,nomakeup,modernphoto,neutral,40
000399.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,26
000400.jpg,female,caucasian,makeup,modernphoto,slightlyhappy,47
000401.jpg,male,caucasian,nomakeup,modernphoto,neutral,15
000402.jpg,male,caucasian,nomakeup,modernphoto,neutral,51
000403.jpg,female,caucasian,nomakeup,modernphoto,neutral,43
000404.jpg,male,caucasian,nomakeup,modernphoto,happy,41
000405.jpg,male,caucasian,nomakeup,modernphoto,happy,25
000406.jpg,male,caucasian,nomakeup,modernphoto,happy,26
000407.jpg,male,caucasian,nomakeup,modernphoto,neutral,22
000408.jpg,male,caucasian,nomakeup,modernphoto,neutral,27
000409.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,10
000410.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,25
000411.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,16
000412.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,64
000413.jpg,male,caucasian,nomakeup,modernphoto,happy,44
000414.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,36
000415.jpg,male,afroamerican,nomakeup,modernphoto,neutral,37
000416.jpg,female,caucasian,nomakeup,modernphoto,slightlyhappy,47
000417.jpg,female,caucasian,nomakeup,modernphoto,neutral,51
000418.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,9
000419.jpg,male,caucasian,nomakeup,modernphoto,neutral,41
000420.jpg,male,asian,nomakeup,modernphoto,neutral,25
000421.jpg,male,caucasian,nomakeup,modernphoto,neutral,15
000422.jpg,male,caucasian,nomakeup,modernphoto,slightlyhappy,25
